MAC_address,MAC_vendor,Description,Hostname,Portable,Serial,owner,location
58:97:bd:d6:bf:20,,,Upstairs-AP,no,,,
00:0c:29:66:28:bc,,,hackercamp,no,,,
58:97:bd:d6:bf:3c,,,Downstairs-AP,no,,,
98:01:a7:b7:29:df,,,HAL2,yes,,,
18:55:e3:6e:2d:b5,,,JeremyspleWatch,yes,,,
64:16:66:95:30:db,Nest Labs Inc.,,09AG01AC50180LWH,no,,,
18:b4:30:3f:44:89,Nest Labs Inc.,,07AA01AD46170670,no,,,
78:4f:43:76:f0:ae,,,MacBook-Pro,yes,,,
44:4a:db:b0:aa:e1,,,apiersonsiPhone,yes,,,
64:16:66:71:7f:5f,Nest Labs Inc.,Doorbell,Nest-Hello-7f5f,no,,,
f8:da:0c:7a:dc:2a,"Hon Hai Precision Ind. Co.,Ltd.",,BRWF8DA0C7ADC2A,,,,
00:05:cd:de:b0:fa,,,Denon-AVR-S750H,no,,,
00:18:0a:88:9d:7d,,,sobitnet-ms220-00180a889d7d,no,,,
fc:a1:83:21:ad:20,,,amazon-d0f97fb76,,,,
00:0c:29:99:de:e4,,,mongo,no,,,
50:de:06:6d:f3:6e,,,Apple-TV,no,,,
08:66:98:c4:5e:f8,,,Kitchen,,,,
50:d4:f7:eb:73:f9,"TP-LINK TECHNOLOGIES CO.,LTD.",,KP400,,,,
78:4f:43:8f:64:dd,,,mbp-12423,,,,
50:dc:e7:0c:a8:ec,,,amazon-8784b1503,,,,
00:0c:29:43:9c:c8,,,minemeld,no,,,
fc:5b:39:37:27:a2,"Cisco Systems, Inc",,APfc5b.3937.27a2,,,,
5c:f9:38:cd:3f:a0,,,BedroomAppleTV,no,,,
00:0c:29:ac:79:0a,,,plex,no,,,
1c:f2:9a:3a:f2:65,,,Google-Nest-Hub,no,,JP,Kitchen
44:4a:db:b0:70:a9,,,ET-Phone-Home,yes,,JP,
20:df:b9:d3:2d:3c,"Google, Inc.",,Google-Home-Mini,no,,JP,JP Office
40:cb:c0:f2:d9:b6,"Apple, Inc.",Home Theater AppleTV,Home-Theater,no,,JP,Home Theater
